Facility_Name,2019_in_DA_stray,2019_in_DJ_stray,2019_in_CA_stray,2019_in_CJ_stray,2019_in_DA_relinq,2019_in_DJ_relinq,2019_in_CA_relinq,2019_in_CJ_relinq,2019_in_DA_CO,2019_in_DJ_CO,2019_in_CA_CO,2019_in_CJ_CO,2019_in_DA_OOS,2019_in_DJ_OOS,2019_in_CA_OOS,2019_in_CJ_OOS,2019_in_DA_other,2019_in_DJ_other,2019_in_CA_other,2019_in_CJ_other,2019_out_DA_adopt,2019_out_DJ_adopt,2019_out_CA_adopt,2019_out_CJ_adopt,2019_out_DA_return,2019_out_DJ_return,2019_out_CA_return,2019_out_CJ_return,2019_out_DA_CO,2019_out_DJ_CO,2019_out_CA_CO,2019_out_CJ_CO,2019_out_DA_OOS,2019_out_DJ_OOS,2019_out_CA_OOS,2019_out_CJ_OOS,2019_out_DA_other,2019_out_DJ_other,2019_out_CA_other,2019_out_CJ_other
2 Blondes All Breed Rescue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,1228.0,0.0,0.0,54.0,81.0,0.0,0.0,448.0,1262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2nd Chance Vizsla Rescue, Inc.",0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4 Paws 4 Life Rescue,0.0,0.0,0.0,0.0,23.0,7.0,3.0,4.0,4.0,0.0,0.0,0.0,274.0,498.0,28.0,38.0,0.0,0.0,0.0,0.0,311.0,491.0,32.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Lives Rescue,0.0,0.0,4.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,13.0,39.0,0.0,0.0,7.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Acadiana Animal Aid,89.0,71.0,31.0,119.0,68.0,55.0,54.0,12.0,0.0,0.0,0.0,0.0,466.0,1037.0,245.0,325.0,9.0,32.0,10.0,4.0,207.0,276.0,146.0,228.0,10.0,1.0,0.0,0.0,101.0,324.0,74.0,20.0,374.0,560.0,160.0,156.0,0.0,0.0,0.0,0.0
Adams County Animal Shelter & Adoption Center,2518.0,77.0,1003.0,571.0,857.0,54.0,381.0,73.0,52.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,282.0,29.0,77.0,65.0,1606.0,122.0,978.0,508.0,1761.0,28.0,141.0,12.0,134.0,7.0,29.0,23.0,8.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0
Adoptable Animal Rescue Force,2.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,28.0,23.0,0.0,0.0,35.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Airedale Terrier Rescue and Adoption,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All Aboard Animal Rescue ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All Breed Rescue & Training,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,26.0,22.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,49.0,24.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All Paws Matter ,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,106.0,266.0,0.0,0.0,20.0,0.0,0.0,0.0,96.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All Points West German Shorthaired Pointer (GSP) Rescue,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,41.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Almost Home Adoptions,0.0,0.0,194.0,399.0,0.0,0.0,43.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,190.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
American Bullmastiff Assoc. Rescue Inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angels with Paws,0.0,0.0,25.0,34.0,0.0,0.0,31.0,25.0,0.0,0.0,7.0,0.0,0.0,0.0,106.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal House Rescue & Grooming,1.0,0.0,0.0,0.0,27.0,16.0,0.0,0.0,51.0,0.0,0.0,0.0,399.0,174.0,0.0,0.0,103.0,0.0,0.0,0.0,569.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal Kingdom,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal Rescue of the Rockies,0.0,0.0,148.0,307.0,5.0,5.0,6.0,0.0,19.0,5.0,39.0,98.0,101.0,82.0,246.0,398.0,35.0,1.0,66.0,25.0,158.0,101.0,401.0,879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal Rescue of the Rockies Cat Casita,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal Welfare Coalition of Northeastern New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annies Orphans,2.0,1.0,0.0,0.0,37.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,18.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ark Valley Humane Society, Inc. - AVHS South",52.0,2.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,20.0,0.0,0.0,30.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ark-Valley Humane Society, Inc.",157.0,2.0,63.0,82.0,77.0,5.0,48.0,22.0,38.0,2.0,21.0,14.0,6.0,0.0,0.0,0.0,52.0,0.0,25.0,6.0,149.0,8.0,116.0,112.0,151.0,3.0,15.0,5.0,20.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,7.0,0.0,18.0,0.0
Aspen Boarding Kennel And Animal Shelter,94.0,1.0,8.0,0.0,54.0,2.0,31.0,14.0,94.0,6.0,0.0,0.0,9.0,13.0,16.0,31.0,11.0,0.0,0.0,0.0,160.0,25.0,44.0,44.0,99.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aurora Animal Shelter,1320.0,42.0,236.0,180.0,211.0,15.0,120.0,30.0,23.0,10.0,18.0,2.0,0.0,0.0,11.0,0.0,235.0,27.0,97.0,57.0,552.0,52.0,277.0,179.0,1011.0,28.0,68.0,5.0,59.0,12.0,20.0,28.0,7.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0
Australian Shepherds Furever,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWR Cat Tails Rescue,0.0,0.0,0.0,0.0,0.0,0.0,44.0,40.0,0.0,0.0,1.0,5.0,0.0,0.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aztec Animal Shelter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bark It ,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear Creek Animal Hospital,169.0,15.0,59.0,73.0,45.0,6.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,14.0,41.0,47.0,123.0,7.0,1.0,0.0,3.0,0.0,9.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beasties LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bernese Mountain Dog Club of the Rockies - BMDCR,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beyond Rescue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Big Bones Canine Rescue,1.0,3.0,0.0,0.0,89.0,20.0,0.0,0.0,63.0,65.0,0.0,0.0,482.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0,555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
